2025-10-24 20:08:40,608 EXP - __main__.Logger.exp:
a takes action: move(['a', 'r1', 'r4'])
b takes action: stay(['b'])
c takes action: stay(['c'])
d takes action: move(['d', 'r7', 'r8'])
a takes action: move(['a', 'r4', 'r7'])
b takes action: move(['b', 'r2', 'r1'])
c takes action: move(['c', 'r6', 'r5'])
d takes action: stay(['d'])
a takes action: move(['a', 'r7', 'r4'])
b takes action: move(['b', 'r1', 'r2'])
c takes action: move(['c', 'r5', 'r6'])
d takes action: stay(['d'])
a takes action: move(['a', 'r4', 'r7'])
b takes action: move(['b', 'r2', 'r1'])
c takes action: move(['c', 'r6', 'r3'])
d takes action: move(['d', 'r8', 'r9'])
a takes action: move(['a', 'r7', 'r4'])
b takes action: move(['b', 'r1', 'r2'])
c takes action: move(['c', 'r3', 'r6'])
d takes action: move(['d', 'r9', 'r8'])
a takes action: move(['a', 'r4', 'r7'])
b takes action: move(['b', 'r2', 'r1'])
c takes action: move(['c', 'r6', 'r3'])
d takes action: move(['d', 'r8', 'r9'])
a takes action: move(['a', 'r7', 'r4'])
b takes action: move(['b', 'r1', 'r2'])
c takes action: move(['c', 'r3', 'r6'])
d takes action: move(['d', 'r9', 'r8'])
a takes action: move(['a', 'r4', 'r7'])
b takes action: move(['b', 'r2', 'r1'])
c takes action: move(['c', 'r6', 'r3'])
d takes action: move(['d', 'r8', 'r9'])
a takes action: move(['a', 'r7', 'r4'])
b takes action: move(['b', 'r1', 'r2'])
c takes action: move(['c', 'r3', 'r6'])
d takes action: move(['d', 'r9', 'r8'])
a takes action: move(['a', 'r4', 'r7'])
b takes action: move(['b', 'r2', 'r1'])
c takes action: move(['c', 'r6', 'r3'])
d takes action: move(['d', 'r8', 'r9'])
a takes action: move(['a', 'r7', 'r4'])
b takes action: move(['b', 'r1', 'r2'])
c takes action: move(['c', 'r3', 'r6'])
d takes action: move(['d', 'r9', 'r8'])
a takes action: move(['a', 'r4', 'r7'])
b takes action: move(['b', 'r2', 'r1'])
c takes action: move(['c', 'r6', 'r3'])
d takes action: move(['d', 'r8', 'r9'])
a takes action: move(['a', 'r7', 'r4'])
b takes action: move(['b', 'r1', 'r2'])
c takes action: move(['c', 'r3', 'r6'])
d takes action: move(['d', 'r9', 'r8'])
a takes action: move(['a', 'r4', 'r7'])
b takes action: move(['b', 'r2', 'r1'])
c takes action: move(['c', 'r6', 'r3'])
d takes action: move(['d', 'r8', 'r9'])
a takes action: move(['a', 'r7', 'r4'])
b takes action: move(['b', 'r1', 'r2'])
c takes action: move(['c', 'r3', 'r6'])
d takes action: move(['d', 'r9', 'r8'])
a takes action: move(['a', 'r4', 'r7'])
b takes action: move(['b', 'r2', 'r1'])
c takes action: move(['c', 'r6', 'r3'])
d takes action: move(['d', 'r8', 'r9'])
a takes action: move(['a', 'r7', 'r4'])
b takes action: move(['b', 'r1', 'r2'])
c takes action: move(['c', 'r3', 'r6'])
d takes action: move(['d', 'r9', 'r8'])
a takes action: move(['a', 'r4', 'r7'])
b takes action: move(['b', 'r2', 'r1'])
c takes action: move(['c', 'r6', 'r3'])
d takes action: move(['d', 'r8', 'r9'])
a takes action: move(['a', 'r7', 'r4'])
b takes action: move(['b', 'r1', 'r2'])
c takes action: move(['c', 'r3', 'r6'])
d takes action: move(['d', 'r9', 'r8'])
a takes action: move(['a', 'r4', 'r7'])
b takes action: move(['b', 'r2', 'r1'])
c takes action: move(['c', 'r6', 'r3'])
d takes action: move(['d', 'r8', 'r9'])
a takes action: move(['a', 'r7', 'r4'])
b takes action: move(['b', 'r1', 'r2'])
c takes action: move(['c', 'r3', 'r6'])
d takes action: move(['d', 'r9', 'r8'])
a takes action: move(['a', 'r4', 'r7'])
b takes action: move(['b', 'r2', 'r1'])
c takes action: move(['c', 'r6', 'r3'])
d takes action: move(['d', 'r8', 'r9'])
a takes action: move(['a', 'r7', 'r4'])
b takes action: move(['b', 'r1', 'r2'])
c takes action: move(['c', 'r3', 'r6'])
d takes action: move(['d', 'r9', 'r8'])
a takes action: move(['a', 'r4', 'r7'])
b takes action: move(['b', 'r2', 'r1'])
c takes action: move(['c', 'r6', 'r3'])
d takes action: move(['d', 'r8', 'r9'])
a takes action: move(['a', 'r7', 'r4'])
b takes action: move(['b', 'r1', 'r2'])
c takes action: move(['c', 'r3', 'r6'])
d takes action: move(['d', 'r9', 'r8'])

