2025-10-24 21:14:39,614 EXP - __main__.Logger.exp:
a takes action: move_without_item(['a', 'r1', 'r2'])
b takes action: move_without_item(['b', 'r3', 'r1'])
a takes action: move_without_item(['a', 'r2', 'r1'])
b takes action: move_without_item(['b', 'r1', 'r2'])
a takes action: move_without_item(['a', 'r1', 'r2'])
b takes action: move_without_item(['b', 'r2', 'r1'])
a takes action: move_without_item(['a', 'r2', 'r1'])
b takes action: move_without_item(['b', 'r1', 'r2'])
a takes action: move_without_item(['a', 'r1', 'r2'])
b takes action: move_without_item(['b', 'r2', 'r1'])
a takes action: move_without_item(['a', 'r2', 'r1'])
b takes action: move_without_item(['b', 'r1', 'r2'])
a takes action: move_without_item(['a', 'r1', 'r2'])
b takes action: move_without_item(['b', 'r2', 'r1'])
a takes action: move_without_item(['a', 'r2', 'r1'])
b takes action: move_without_item(['b', 'r1', 'r2'])
a takes action: move_without_item(['a', 'r1', 'r2'])
b takes action: move_without_item(['b', 'r2', 'r1'])
a takes action: move_without_item(['a', 'r2', 'r1'])
b takes action: move_without_item(['b', 'r1', 'r2'])
a takes action: move_without_item(['a', 'r1', 'r2'])
b takes action: move_without_item(['b', 'r2', 'r1'])
a takes action: move_without_item(['a', 'r2', 'r1'])
b takes action: move_without_item(['b', 'r1', 'r2'])
a takes action: move_without_item(['a', 'r1', 'r2'])
b takes action: move_without_item(['b', 'r2', 'r1'])
a takes action: move_without_item(['a', 'r2', 'r1'])
b takes action: move_without_item(['b', 'r1', 'r2'])
a takes action: move_without_item(['a', 'r1', 'r2'])
b takes action: move_without_item(['b', 'r2', 'r1'])
a takes action: move_without_item(['a', 'r2', 'r1'])
b takes action: move_without_item(['b', 'r1', 'r2'])
a takes action: move_without_item(['a', 'r1', 'r2'])
b takes action: move_without_item(['b', 'r2', 'r1'])
a takes action: move_without_item(['a', 'r2', 'r1'])
b takes action: move_without_item(['b', 'r1', 'r2'])
a takes action: move_without_item(['a', 'r1', 'r2'])
b takes action: move_without_item(['b', 'r2', 'r1'])
a takes action: move_without_item(['a', 'r2', 'r1'])
b takes action: move_without_item(['b', 'r1', 'r2'])
a takes action: move_without_item(['a', 'r1', 'r2'])
b takes action: move_without_item(['b', 'r2', 'r1'])
a takes action: move_without_item(['a', 'r2', 'r1'])
b takes action: move_without_item(['b', 'r1', 'r2'])
a takes action: move_without_item(['a', 'r1', 'r2'])
b takes action: move_without_item(['b', 'r2', 'r1'])
a takes action: move_without_item(['a', 'r2', 'r1'])
b takes action: move_without_item(['b', 'r1', 'r2'])
a takes action: move_without_item(['a', 'r1', 'r2'])
b takes action: move_without_item(['b', 'r2', 'r1'])
a takes action: move_without_item(['a', 'r2', 'r1'])
b takes action: move_without_item(['b', 'r1', 'r2'])
a takes action: move_without_item(['a', 'r1', 'r2'])
b takes action: move_without_item(['b', 'r2', 'r1'])
a takes action: move_without_item(['a', 'r2', 'r1'])
b takes action: move_without_item(['b', 'r1', 'r2'])
a takes action: move_without_item(['a', 'r1', 'r2'])
b takes action: move_without_item(['b', 'r2', 'r1'])
a takes action: move_without_item(['a', 'r2', 'r1'])
b takes action: move_without_item(['b', 'r1', 'r2'])
a takes action: move_without_item(['a', 'r1', 'r2'])
b takes action: move_without_item(['b', 'r2', 'r1'])
a takes action: move_without_item(['a', 'r2', 'r1'])
b takes action: move_without_item(['b', 'r1', 'r2'])
a takes action: move_without_item(['a', 'r1', 'r2'])
b takes action: move_without_item(['b', 'r2', 'r1'])
a takes action: move_without_item(['a', 'r2', 'r1'])
b takes action: move_without_item(['b', 'r1', 'r2'])
a takes action: move_without_item(['a', 'r1', 'r2'])
b takes action: move_without_item(['b', 'r2', 'r1'])
a takes action: move_without_item(['a', 'r2', 'r1'])
b takes action: move_without_item(['b', 'r1', 'r2'])
a takes action: move_without_item(['a', 'r1', 'r2'])
b takes action: move_without_item(['b', 'r2', 'r1'])
a takes action: move_without_item(['a', 'r2', 'r1'])
b takes action: move_without_item(['b', 'r1', 'r2'])
a takes action: move_without_item(['a', 'r1', 'r2'])
b takes action: move_without_item(['b', 'r2', 'r1'])
a takes action: move_without_item(['a', 'r2', 'r1'])
b takes action: move_without_item(['b', 'r1', 'r2'])
a takes action: move_without_item(['a', 'r1', 'r2'])
b takes action: move_without_item(['b', 'r2', 'r1'])
a takes action: move_without_item(['a', 'r2', 'r1'])
b takes action: move_without_item(['b', 'r1', 'r2'])
a takes action: move_without_item(['a', 'r1', 'r2'])
b takes action: move_without_item(['b', 'r2', 'r1'])
a takes action: move_without_item(['a', 'r2', 'r1'])
b takes action: move_without_item(['b', 'r1', 'r2'])
a takes action: move_without_item(['a', 'r1', 'r2'])
b takes action: move_without_item(['b', 'r2', 'r1'])
a takes action: move_without_item(['a', 'r2', 'r1'])
b takes action: move_without_item(['b', 'r1', 'r2'])
a takes action: move_without_item(['a', 'r1', 'r2'])
b takes action: move_without_item(['b', 'r2', 'r1'])
a takes action: move_without_item(['a', 'r2', 'r1'])
b takes action: move_without_item(['b', 'r1', 'r2'])
a takes action: move_without_item(['a', 'r1', 'r2'])
b takes action: move_without_item(['b', 'r2', 'r1'])
a takes action: move_without_item(['a', 'r2', 'r1'])
b takes action: move_without_item(['b', 'r1', 'r2'])

